Name,Start Time,End Time,Week,Quarter,Location,Description,Special
Virtual Game Night,6/24/2025 8:00PM,6/24/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
Trivia Night,7/8/2025 8:00PM,7/8/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
Virtual Game Night,7/22/2025 8:00PM,7/22/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
Blind Slideshow Night,8/5/2025 8:00PM,8/5/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
Virtual Game Night,8/19/2025 8:00PM,8/19/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
Dungeon Crawl Event,8/29/2025 8:00PM,8/29/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
Virtual Escape Room,9/2/2025 8:00PM,9/2/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
One-Shot Club,9/9/2025 8:00PM,9/9/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
Virtual Game Night,9/16/2025 8:00PM,9/16/2025 10:00PM,,Summer 2025,Enigma Discord Server,,FALSE
Zombie Tag,9/22/2025 8:00PM,9/22/2025 10:00PM,0,Fall 2025,Ackerman A-Level Terrace,,FALSE
Open Board Gaming,9/23/2025 8:00PM,9/23/2025 10:00PM,0,Fall 2025,Saxon Suites,,FALSE
Trivia Night,9/30/2025 8:00PM,9/30/2025 10:00PM,1,Fall 2025,Ackerman Viewpoint Conference Room,,FALSE
One-Shot Night,10/7/2025 8:00PM,10/7/2025 10:00PM,2,Fall 2025,Ackerman Viewpoint Conference Room,,FALSE
Open Board Gaming,10/14/2025 8:00PM,10/14/2025 10:00PM,3,Fall 2025,Ackerman Viewpoint Conference Room,,FALSE
Mask Taster,10/21/2025 8:00PM,10/21/2025 10:00PM,4,Fall 2025,Ackerman Viewpoint Conference Room,,FALSE
LARP,10/28/2025 8:00PM,10/28/2025 10:00PM,5,Fall 2025,Ackerman Viewpoint Conference Room,,FALSE
Open Board Gaming,11/4/2025 8:00PM,11/4/2025 10:00PM,6,Fall 2025,Ackerman Viewpoint Conference Room,,FALSE
Murder in the Coop,11/11/2025 8:00PM,11/11/2025 10:00PM,7,Fall 2025,Ackerman Viewpoint Conference Room,,FALSE
